1,aH aH,阿,啊
2,aH aL,阿
3,aiH aiH,埃,唉,挨,誒,哀,哎
4,aiH aiL,艾,璦,嬡,礙,曖,噯,賹,隘,靉,譪,愛,薆,僾,鑀,濭,鴱
5,aiL aiH,欸,皚,靄,敳,藹,捱,騃,矮
6,aiL aiL,佁,昹,欸,靄,藹,矮
7,aM aM,阿,啊
8,angH angH,腌,骯
9,angH angL,醠,盎
10,angL angH,昂,卬
11,angL angL,軮
12,anH anH,胺,銨,垵,盦,腤,諳,安,庵,痷,萻,侒,峖,氨,韽,媕,鵪,鞍
13,anH anL,匼,犴,儑,暗,錌,洝,岸,菴,桉,荌,婩,闇,匎,豻,案,按,黯
14,anL anH,玵,雸,啽
15,anL anL,堷,晻,俺,唵
16,auH auH,坳,凹,柪
17,auH auL,傲,擙,奧,澳,嶴,拗,懊,扷,墺,詏,奡
18,auL auH,遨,爊,鏖,鏊,摮,熬,嗷,廒,滶,鰲,螯,蔜,鼇,敖,驁,獒,簢,翱,隞,謷,聱,磝,璈
19,auL auL,媼,拗,镺,襖,芺
20,b aH aH,吧,叭,朳,疤,粑,芭,豝,仈,捌,笆,巴,八
21,b aH aL,弝,壩,爸,猈,罷,灞,霸
22,b aiH aiH,掰
23,b aiH aiL,敗,唄,稗,粺,庍,拜
24,b aiL aiH,擺,白,百
25,b aiL aiL,絔,百,擺,矲,襬,佰,捭,粨
26,b aL aH,詙,犮,跋,菝,軷,鼥,拔,胈,靶,茇,鈸,把,魃
27,b aL aL,靶,鈀,把
28,b aM aM,吧,罷
29,b angH angH,傍,鞤,垹,縍,梆,幫,邦
30,b angH angL,棒,傍,謗,鎊,艕,旁,甏,蚌,磅,塝
31,b angL angH,榜,綁
32,b angL angL,氆,榜,牓,膀,綁
33,b anH anH,斑,瘢,虨,搬,般,頒,扳,褩,攽,斒,班
34,b anH anL,鉡,瓣,扮,半,姅,怑,辦,湴,拌,靽,絆,伴
35,b anL anH,版,板
36,b anL anL,粄,鈑,版,舨,扳,昄,阪,闆,板,蝂
37,b auH auH,蕔,孢,笣,包,褒,胞,苞
38,b auH auL,煲,菢,抱,暴,鮑,犦,豹,刨,鑤,爆,袌,虣,儤,忁,趵,嚗,鉋,報
39,b auL auH,飽,薄,寶,窇,鴇,保,堡,瓝,褓,雹
40,b auL auL,飽,媬,寶,鴇,保,堡,怉,駂,鳵,葆,褓
41,b eiH eiH,伓,杯,盃,揹,萆,卑,鵯,藣,偝,裨,椑,碑,背,悲,綼,桮,俾
42,b eiH eiL,被,焙,狽,糒,備,貝,臂,悖,孛,憊,郥,背,牬,奰,邶,倍,鋇,哱,珼,梖,輩,鄁,犕,褙,蓓,琲,誖
43,b eiL eiH,北
44,b eiL eiL,北
45,b enH enH,泍,錛,渀,賁,奔
46,b enH enL,笨,坌
47,b enL enH,苯,本
48,b enL enL,畚,苯,本
49,b ngH ngH,繃,崩,閍,弸,祊,塴,伻
50,b ngH ngL,搒,洴,蹦,泵,跰,迸
51,b ngL ngH,甭
52,b ngL ngL,琫,菶,玤,誁,埲
