11,angL angL,0
14,anL anH,0
52,b ngL ngL,0
56,b oL oL,0,跛:0,簸:0
58,b wuH wuH,0,逋:0
71,bi auH auL,0
83,bi ngL ngH,0
93,chi aH aH,0,掐:0
95,chi aL aL,0
105,chi auH auL,0,峭:0,翹:0
110,chi ehL ehH,0,茄:0,伽:0
113,chi enH enL,0,沁:0,撳:0
130,chiu enH enH,0,逡:0
134,chiu ngL ngL,0,顈:0
136,chr aH aL,0,剎:0,詫:0
138,chr aiH aiL,0
141,chr aL aL,0
146,chr anH anH,0,攙:0,摻:0
147,chr anH anL,0,懺:0,羼:0
151,chr auH auL,0
161,chr enL enL,0
179,chu aiH aiH,0,搋:0
181,chu aiL aiH,0,膗:0
192,chu eiH eiL,0
198,chu ngH ngL,0,銃:0
207,d aiL aiH,0,逮:0
278,enH enL,0,摁:0
306,f ngL ngL,0,唪:0
308,f ouL ouH,0
413,H niL,0
444,hu ngH ngL,0,鬨:0
447,hu oH oH,0,豁:0
488,ji ouH ouH,0,糾:0,啾:0
499,jiu ehL ehL,0,蹶:0
503,jiu ngH ngH,0,坰:0
504,jiu ngL ngH,0,迥:0
518,jr anH anH,0,占:0,詹:0,沾:0
563,ju eiL eiL,0
565,ju enH enL,0
575,k aH aL,0,喀:0
589,k auH auH,0,尻:0
597,k enH enL,0,掯:0
611,ku aiH aiH,0,喎:0
615,ku angH angH,0,匡:0,眶:0,框:0
618,ku angL angL,0
628,ku enL enH,0,捆:0,綑:0
629,ku enL enL,0,綑:0,捆:0
635,ku oL oL,0
695,li enH enL,0,賃:0,吝:0
706,liu anL anH,0,攣:0,孿:0
707,liu anL anL,0,孌:0
715,lu enL enL,0
716,lu ngH ngL,0,哢:0,衖:0
746,m enL enL,0
772,mi ehH ehH,0,乜:0
778,mi ngL ngL,0
779,mi ouH ouH,0
788,n angH angH,0,囔:0
789,n angH angL,0,齉:0
792,n anH anH,0,囝:0
796,n auH auH,0
801,n eH eL,0,訥:0
808,n ouL ouH,0
815,n yuH yuL,0
829,ni ehL ehH,0,苶:0
831,ni enL enL,0
834,ni ngL ngL,0,擰:0
846,nu oL oL,0
858,p aiL aiL,0
863,p angL angL,0,耪:0
867,p anL anL,0
875,p eiL eiL,0
878,p enL enL,0
913,pi ngL ngL,0
932,r ouL ouL,0,糅:0
935,r wuL wuL,0,汝:0,乳:0
940,ru eiL eiH,0,蕤:0
942,ru enH enH,0
977,shi enL enL,0,伈:0
997,shiu ngH ngL,0,詗:0
1053,shu angH angL,0
1067,su anL anL,0
1073,su enH enL,0
1081,su oH oL,0
1099,sz auL auH,0,嫂:0
1106,sz ouL ouL,0,叟:0,藪:0
1139,t ouL ouL,0
1150,ti anH anL,0,掭:0
1152,ti anL anL,0,腆:0,靦:0,殄:0
1158,ti ehH ehL,0,餮:0,帖:0
1165,tsu anH anH,0,攛:0
1170,tsu eiL eiH,0
1177,tsu ngH ngL,0
1182,tsu oL oL,0,脞:0
1184,tsz aH aL,0
1189,tsz aL aL,0,礤:0
1215,tu anH anL,0,彖:0
1224,tu enL enL,0,畽:0,汆:0
1241,tz angL angL,0,駔:0
1244,tz anL anH,0
1250,tz eH eL,0,仄:0
1254,tz enH enL,0,譖:0
1258,tz ouH ouH,0,鄒:0,謅:0
1273,tzu eiH eiH,0
